track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,track_popularity_IQR,artist_popularity_IQR,artist_followers_IQR,album_total_tracks_IQR,track_duration_min_IQR,track_number_std,track_popularity_std,artist_popularity_std,artist_followers_std,album_total_tracks_std,track_duration_min_std,track_number_norm,track_popularity_norm,artist_popularity_norm,artist_followers_norm,album_total_tracks_norm,track_duration_min_norm
3EJS5LyekDim1Tf5rBFmZl,Trippy Mane (ft. Project Pat),4,0,True,Diplo,77,2812821,moombahton,5QRFnGnBeMGePBKF2xTz5z,"d00mscrvll, Vol. 1",2025-10-31,9,album,1.55,0,77,2812821.0,9.0,1.55,-0.29286492491601457,-2.1984839974282697,0.3700710011621121,-0.5580364877710132,-0.4029334144821406,-1.8364588707389007,0.0297029702970297,0.0,0.77,0.019326506242838156,0.044444444444444446,0.11011904761904763
1oQW6G2ZiwMuHqlPpP27DB,OMG!,1,0,True,Yelawolf,64,2363438,"country hip hop, southern hip hop",4SUmmwnv0xTjRcLdjczGg2,OMG!,2025-10-31,1,single,3.07,0,64,2363438.0,1.0,3.07,-0.7885328421450252,-2.1984839974282697,-0.2916805546015756,-0.5698531550188549,-1.0759693608774363,-0.3996610944581445,0.0,0.0,0.64,0.01623885745362429,0.0,0.2232142857142857
7mdkjzoIYlf1rx9EtBpGmU,Hard 2 Find,1,4,True,Riff Raff,48,193302,soundtrack,3E3zEAL8gUYWaLYB9L7gbp,Hard 2 Find,2025-10-31,1,single,2.55,4,48,193302.0,1.0,2.55,-0.7885328421450252,-2.030520428701863,-1.1061440078491913,-0.6269175633177052,-1.0759693608774363,-0.8911971758173507,0.0,0.04040404040404041,0.48,0.0013281514571147973,0.0,0.1845238095238095
67rW0Zl7oB3qEpD5YWWE5w,Still Get Like That (ft. Project Pat & Starrah),8,30,True,Diplo,77,2813710,moombahton,5QRFnGnBeMGePBKF2xTz5z,"d00mscrvll, Vol. 1",2025-10-31,9,album,1.69,30,77,2813710.0,9.0,1.69,0.368025631389333,-0.9387572319802218,0.3700710011621121,-0.5580131112365574,-0.4029334144821406,-1.7041222334498838,0.06930693069306931,0.30303030303030304,0.77,0.019332614439573705,0.044444444444444446,0.12053571428571429
15xptTfRBrjsppW0INUZjf,ride me like a harley,2,0,True,Rumelis,48,8682,dark r&b,06FDIpSHYmZAZoyuYtc7kd,come closer / ride me like a harley,2025-10-30,2,single,2.39,0,48,8682.0,2.0,2.39,-0.6233102030686883,-2.1984839974282697,-1.1061440078491913,-0.6317722042527129,-0.9918398675780244,-1.0424390470047984,0.009900990099009901,0.0,0.48,5.965282796179382e-05,0.005555555555555556,0.17261904761904762
4ccpCcZYseq8VrPMK1EDs0,BLEED,1,2,False,Minzie,46,7218,dark r&b,2NQv9p3ZQW0Ed1LB9enix8,BLEED,2025-10-30,3,single,2.76,2,46,7218.0,3.0,2.76,-0.7885328421450252,-2.1145022130650664,-1.2079519395051432,-0.631810700592919,-0.9077103742786125,-0.6926922198838251,0.0,0.020202020202020204,0.46,4.9593885306176896e-05,0.01111111111111111,0.2001488095238095
3QoQ3HqXTAjgEl9LbNMbYp,Te Procuro na Cidade,1,20,False,AZERDK,30,1657,soundtrack,1PpuOsLjPWshDLxkr0oHeU,Te Procuro na Cidade,2025-10-30,1,single,4.12,20,30,1657.0,1.0,4.12,-0.7885328421450252,-1.3586661537962377,-2.022415392752759,-0.6319569288360106,-1.0759693608774363,0.5928636852094836,0.0,0.20202020202020204,0.3,1.138501911226588e-05,0.0,0.30133928571428575
1YEZbdT417SfolPQzaoHs2,come closer,1,27,False,Rumelis,49,8802,dark r&b,06FDIpSHYmZAZoyuYtc7kd,come closer / ride me like a harley,2025-10-30,2,single,2.53,27,49,8802.0,2.0,2.53,-0.7885328421450252,-1.0647299085250266,-1.0552400420212154,-0.6317690488149911,-0.9918398675780244,-0.9101024097157817,0.0,0.27272727272727276,0.49,6.047733145815587e-05,0.005555555555555556,0.18303571428571427
4pZ949nFW5SurwzE0TSe7I,Cupido Vagabundo,1,16,False,Toni dos Anjos,6,475,soundtrack,60DLQZkzpvDvVfvEC6VOJM,Cupido Vagabundo,2025-10-30,2,single,2.92,16,24,475.0,2.0,2.92,-0.7885328421450252,-1.5266297225226442,-3.2441105726241823,-0.6319880098975704,-0.9918398675780244,-0.541450348696377,0.0,0.16161616161616163,0.06,3.263659673099754e-06,0.005555555555555556,0.21205357142857142
0L0LgwFZ7UtBnRNQvSBty6,LETâ€™S GO!,1,33,True,PsychoYP,48,154802,"nigerian drill, altÃ©, afro adura, afrobeats, afrobeat, afroswing",3ARxksm8CspGeAaZZB1v2w,LETâ€™S GO!,2025-10-28,1,single,2.4,33,48,154802.0,1.0,2.4,-0.7885328421450252,-0.812784555435417,-1.1061440078491913,-0.6279299329201199,-1.0759693608774363,-1.032986430055583,0.0,0.33333333333333337,0.48,0.001063623252031975,0.0,0.17336309523809523
